Slice,Count,Total Area,Average Size,%Area,Major,Minor,Angle
18.20 s,3,952,317.333,0.372,39.648,5.090,62.352
18.23 s,5,964,192.800,0.377,24.555,3.520,55.197
18.27 s,4,952,238.000,0.372,30.400,4.023,50.095
18.30 s,3,957,319.000,0.374,39.635,5.114,59.234
18.33 s,3,918,306.000,0.359,37.898,5.131,56.813
18.37 s,3,875,291.667,0.342,36.678,5.082,55.468
18.40 s,5,862,172.400,0.337,22.348,3.448,36.814
18.43 s,3,840,280.000,0.328,36.130,4.675,62.485
18.47 s,3,865,288.333,0.338,36.649,4.993,58.428
18.50 s,4,899,224.750,0.351,28.529,4.111,45.404
18.53 s,3,926,308.667,0.362,38.788,4.871,67.702
18.57 s,4,960,240.000,0.375,29.927,3.973,50.209
18.60 s,3,963,321.000,0.376,40.022,5.047,59.647
18.63 s,3,980,326.667,0.383,40.230,4.954,60.495
18.67 s,4,969,242.250,0.379,30.386,4.073,46.121
18.70 s,3,967,322.333,0.378,40.059,5.059,62.694
18.73 s,3,977,325.667,0.382,39.863,5.112,63.001
18.77 s,4,980,245.000,0.383,30.291,4.114,49.008
18.80 s,4,1004,251.000,0.392,32.208,4.169,72.508
18.83 s,5,977,195.400,0.382,24.934,3.501,58.844
18.87 s,5,979,195.800,0.383,25.329,3.506,77.697
18.90 s,4,977,244.250,0.382,30.399,4.159,71.050
18.93 s,3,965,321.667,0.377,39.971,5.060,72.226
18.97 s,3,977,325.667,0.382,39.996,5.103,73.462
19.00 s,4,963,240.750,0.376,30.134,4.081,55.905
